Person (use one the names used in table People, you  can repeat the person name in several rows)			The organisation to which the person  is related (if applicable)	This field is alternative to column D! e.g. magazine title		Places related to the event	Fill in only if  Palestine		Fill in either years or dates. If the event happened in a specific date or year, fill in only "From year/date" column				Only for  educational events	free-text: sources  and links (public)	free-text: sources and links (private)	any other note (private)
Person name @en	Person  name @ar	Event type	Organisation or POI	Work title	Occupation	City	District	Country	From year	To year	From date	To date	Student of	Sources public	Sources private	Other notes
	الشيخ, عبد الرحيم	Employment	جامعة بيرزيت		Associate Professor	Bir Zeit	Ramallah	Palestine	2012							
	خوري, إلياس	Employment	شؤون الفلسطينية ١		Editor	Beirut		Lebanon	1975	1979						
	خوري, إلياس	Employment	الكرمل		Editorial Director				1981	1983						
	خوري, إلياس	Employment	السفير‎		Editor	Beirut		Lebanon	1981	1991						
	خوري, إلياس	Employment	الطريق		Editor				1981	1991						
	خوري, إلياس	Employment	Columbia University		Lecturer	New York City		United States	1980	1982						
	خوري, إلياس	Employment	New York University		Lecturer	New York City		United States	1984	1984						
	خوري, إلياس	Employment	American University of Beirut		Lecturer	Beirut		Lebanon	1986	1998						
	خوري, إلياس	Employment	الجامعة اللبنانية		Lecturer	Beirut		Lebanon	1990	1990						
	خوري, إلياس	Employment	النهار		Editor				1992	2009						
	خوري, إلياس	Employment	Beirut Theater			Beirut		Lebanon	1993	1998						
	خوري, إلياس	Employment	New York University						2001	2014						
	خوري, إلياس	Employment	Wissenschaftskolleg zu Berlin						2010	2011						
	خوري, إلياس	Employment	Palestinian Studies Magazine							2011						
	خوري, إلياس	Employment	Lebanese Armerican University							2015						
	خوري, إلياس	Employment	Wissenschaftskolleg zu Berlin							2017						
	خوري, إلياس	Education	École Pratique des Hautes Études			Paris		France	1970	1973						
	خوري, إلياس	Education	الجامعة اللبنانية			Beirut		Lebanon	1967	1970						
	خوري, إلياس	Membership	Palestine Liberation Organisation						1967	1976						
	أبو بكر, وليد	Residence				Ramallah										
	فراج, خالد	Employment	Institute for Palestine Studies													
	فارس, هاني أحمد	Employment	University of British Columbia													
	فارس, هاني أحمد	Employment	جامعة الكويت‎‎						1974	1981						Political Science Department
	فارس, هاني أحمد	Employment	American University													School of International Service
	فارس, هاني أحمد	Employment	Harvard University						1980	1981						Centre for Middle East Studies
	فارس, هاني أحمد	Employment	McGill University													Department of Political Science & the Institute of Islamic Studies
	فارس, هاني أحمد	Employment	Simon Fraser University													History Department
	فارس, هاني أحمد	Employment	جامعة الكويت‎‎		Academic Vice Dean				1978	1981						Academic Vice Dean for Graduate Studies
	فارس, هاني أحمد	Employment	Association of Arab American University Graduates		President				1984	1985						
	فارس, هاني أحمد	Employment	Canadian Institute for International Peace and Security		Policy Advisor				1989	1991						
	فارس, هاني أحمد	Employment		Arab Studies Quarterly	Editor				1987	1990						
	فارس, هاني أحمد	Employment		Contemporary Arab Affairs	Editor				2008							
	فارس, هاني أحمد	Employment	Al-Shabaka, The Palestinian Policy Network		Policy Advisor				2010							
	فارس, هاني أحمد	Employment	Trans Arab Research Institute		President of Board of Directors				2007	2013						
	فارس, هاني أحمد	Membership	Palestine Liberation Organisation													
	فارس, هاني أحمد	Education	American University of Beirut													
	فارس, هاني أحمد	Education	University of Calgary						1969	1973						
	فارس, هاني أحمد	Residence				Beirut		Lebanon								
	فارس, هاني أحمد	Residence				Calgary		Canada	1969	1973						
	فارس, هاني أحمد	Residence				Kuwait City		Kuwait	1974	1981						
	فراج, خالد	Residence				al-Jalazun Camp	Ramallah									
	فراج, خالد	Residence				Ramallah										
	طرابلسي, فواز	Employment		الحرية					1970							
	طرابلسي, فواز	Employment		بيروت المساء					1970							
	طرابلسي, فواز	Employment	Lebanese American University						1997							
	طرابلسي, فواز	Employment		بدايات					2014							
	طرابلسي, فواز	Employment		اليوم السابع					1984	1991						
	طرابلسي, فواز	Employment	American University of Beirut													
	طرابلسي, فواز	Employment	New York University													
	طرابلسي, فواز	Employment	University of Michigan													
	طرابلسي, فواز	Employment	Columbia University													
	طرابلسي, فواز	Employment	جامعة القاهرة													
	طرابلسي, فواز	Employment	St Antony's College													
	طرابلسي, فواز	Employment	Wissenschaftskolleg zu Berlin													
	لوباني, عيسى	Education	دار المعلمين بيافا			Jaffa		Palestine	1945	1947						
	لوباني, عيسى	Membership	الحزب الشيوعي الإسرائيلي					Israel	1949							
	لوباني, عيسى	Membership	رابطة الكتاب والمثقفين العرب					Israel	1957					http://wajihseman.com/alwan_20.php		
	لوباني, عيسى	Employment	المكتبة الشعبية		Bookstore Clerk	Nazareth		Israel	1965	1967						
	لوباني, عيسى	Employment	مكتبة الشعوب		Owner	Nazareth		Israel	1968	1987				http://wajihseman.com/alwan_20.php		
	مرقس, نمر	Membership	رابطة الكتاب والمثقفين العرب					Israel	1957							
	الظاهر, أبو السعود, عدنان	Membership	رابطة الكتاب والمثقفين العرب					Israel	1957							Wrote the opening speech for the first conference of the association
	حسين, راشد	Membership	رابطة الكتاب والمثقفين العرب					Israel	1957							
	أبو حنا, حنا	Membership	رابطة الكتاب والمثقفين العرب					Israel	1957							
	عباسي, عصام	Membership	رابطة الكتاب والمثقفين العرب					Israel	1957							
	جهشان, شكيب	Membership	رابطة الكتاب والمثقفين العرب					Israel	1957							
	قهوجي, حبيب	Membership	رابطة الكتاب والمثقفين العرب					Israel	1957							
	مرار, مصطفى	Membership	رابطة الكتاب والمثقفين العرب					Israel	1957							
	مرار, مصطفى	Education	دار المعلمين بيافا			Jaffa		Israel	1950	1952						
	الطبري, وجدي, فريد	Membership	رابطة الكتاب والمثقفين العرب					Israel	1957							
	نصار, سهيل	Employment	المكتبة الشعبية		Bookstore Clerk	Nazareth		Israel	1966	1987						
	نقولا, جبرا	Employment		مجلة الجديد	Editor	Haifa		Israel								
	عوض, ريتا	Residence				Tunis		Tunisia	1979							
	عوض, ريتا	Education	American University of Beirut			Beirut		Lebanon					حاوي, خليل		عوض, ريتا	Her sister shared an office with M. Darwish, to be checked.
	عوض, ريتا	Employment	Arab League Educational Cultural and Scientific Organization (ALECSO)		Director	Tunis		Tunisia	1980	2012						
	ديرملكنيان, ميشيل	Membership	جوقة الطليعة		Composer	Nazareth		Israel	1948	1960						
	عبد الله, فوزي	Employment		مجلة المواكب	Editor	Nazareth		Israel	1984	1988						
	مرعي, سامي	Employment		مجلة المواكب	Editor	Nazareth		Israel	1984	1986						
	أبو حنا, حنا	Membership	لجنة إحياء تراث راشد حسين			Acre		Israel	1978	1979						
	حسين, راشد	Employment		الفجر	Writer			Israel								
	درويش, محمود	Employment		مجلة الجديد	Editor	Haifa		Israel	1961							End date unknown
	درويش, محمود	Employment		صحيفة الاتحاد	Editor	Haifa		Israel	1961							End date unknown
	ياسين, عبد الحميد	Education	American University in Cairo			Cairo		Egypt	1930	1933						
	ياسين, عبد الحميد	Employment	Palestine Broadcasting Service		Broadcaster	Jerusalem		Palestine	1936	1948						
	ياسين, عبد الحميد	Employment	American University in Cairo		Lecturer	Cairo		Egypt	1949	1953						
	ياسين, عبد الحميد	Employment	دار المعلمين بعمان		Academic Dean	Amman		Jordan	1953	1961						
	ياسين, عبد الحميد	Employment	الجامعة الأردنية		Academic Dean	Amman		Jordan	1962	1963						
	ياسين, عبد الحميد	Employment	وكالة غوث اللاجئين الفلسطينيين بالأردن		Teacher	Amman		Jordan	1964	1965						
	ياسين, عبد الحميد	Employment	Palestine Liberation Organisation		Diplomat	Cairo		Egypt	1966	1967						
